word,frequency
arbeitsplatz,84
weit,493
städtischen,5
gebieten,20
keinen,1017
freund,1820
doch,1233
keine,3836
lust,338
schnell,1003
geld,1551
sparen,129
südafrika,25
besuchen,998
ging,1066
deutschland,5410
lieblingsspieler,6
oliver,30
bierhoff,2
oli,8
flüssig,13
jeden,1559
feiern,258
geburtstag,524
mai,311
außerhalb,61
stadt,2183
ort,403
wolltest,121
satz,1452
kurzer,55
genügend,38
fliegen,395
fußballfan,12
fuhr,262
mittlerweile,79
spricht,515
ziemlich,698
jedes,582
tempel,121
sah,644
nachricht,275
freie,87
auswärts,8
übernachten,50
preis,208
billig,136
entscheiden,225
wiel,16
bezahlen,241
allgemein,175
simpel,7
hotelzimmer,17
umformen,6
altstadt,24
backpackers,2
tempels,3
damit,1408
wohnen,643
möchte,4142
alles,2282
möglich,567
spartanisch,1
eingerichtet,20
umgestaltet,2
schönen,336
kamera,138
kaufte,209
spielreflexkamera,1
studiert,471
anzeigen,8
fotografie,39
kurse,98
deshalbe,5
bessere,229
mache,952
fotographien,1
bilder,248
gern,1788
fotografien,15
dieser,2309
freizeit,393
hause,1808
bleiben,806
woche,1872
hausaufgabe,200
einiger,77
pfotografieren,1
kurzen,123
planen,67
bekannt,381
touristischen,6
attraktionen,23
norden,99
gebäude,260
nächtlich,2
anblick,29
menge,305
fotos,462
spie,4
ge,791
lreflexkamera,1
fotografiekurse,1
bilderbilder,1
alternaive,1
diese,5333
blieben,63
otografieren,5
kurze,259
plan,261
touristische,7
we,519
attraktion,12
which,220
good,297
wetter,1089
sonnenlos,1
warm,374
stella,4
materialien,21
sammeln,140
büro,275
kleinen,540
balkon,47
subway,14
bäume,137
sogar,901
echse,1
sehen,2171
glückliche,44
kurz,467
arbeiten,1352
bewölkt,42
sandwich,26
urz,7
frei,395
wieder,2610
schuhekaufen,2
nachtmarkt,25
kommenden,67
jüngere,52
kleidung,333
paar,1151
schuhe,184
schwierig,745
kaufen,1028
füße,57
groß,683
tragen,275
gewöhnlich,193
größe,89
trage,98
zumindest,195
damenschuhe,2
kaufe,167
herrenschuhe,2
ähnlich,269
problem,1111
trägt,135
bend,65
sstücke,1
ei,305
heiß,393
wochen,665
temperatur,181
grad,317
stark,472
übertrieben,13
anfang,568
appetit,41
schlechter,168
laune,117
regenzeit,53
regnet,306
tag,4329
windstill,6
draußen,255
luft,322
reagiere,3
allergisch,14
niese,9
ganzen,783
hausaufgaben,305
arbeitsleitung,1
gestiegen,122
klingt,887
komisch,389
rasante,4
temperaturanstieg,3
ungewöhnlich,85
schlechte,252
bold,3
schlecht,946
luftempfindlich,1
heißt,1392
ruhe,173
arbeits,22
haltung,58
deutschen,1867
wortbildung,3
übersetzen,269
wortgetreue,2
professionelle,17
wörter,857
lekikon,1
sprachwissenschaft,29
finden,1369
setze,46
all,465
mühsam,35
spezielle,49
le,442
x,174
ikon,1
arbeite,556
mühsame,3
vortrag,123
redner,9
absolventin,5
unserer,332
übersetzt,178
werke,162
cornelia,5
funke,6
heinrich,36
kleist,1
thomas,74
brezina,1
juli,316
zeh,17
usw,576
januar,217
roman,234
schilf,3
chenesischer,1
erschienen,37
sofort,508
führt,191
taiwanische,36
literatur,214
kulturaustausch,3
begleiter,9
vermitteln,22
dichtungen,4
buchmesse,9
erfahrungen,174
freudlich,13
nett,511
chinesischer,55
fördern,45
erzählt,255
freu,70
dlich,11
sitzung,51
wurde,2545
ersten,1046
mal,2516
abhalten,15
darin,272
erfahrung,345
vorbereiten,215
texte,188
geschrieben,1337
müssen,1114
berichtet,66
spreche,479
nervös,175
glück,586
rat,92
lehrer,739
verstehen,1284
vorschläge,67
professorin,42
forschungsrichtungen,1
schreckliche,56
praktische,75
führer,72
könnte,1283
ab,1273
halten,400
vorbereite,23
sowoh,1
l,1120
ss,463
wiedergegeben,6
gesprochen,475
buchhandlung,93
gehe,1551
gab,1519
internet,970
rabatt,13
prozent,378
lieber,525
durchblättern,2
wird,5942
interessantes,95
buchhandlungen,12
geschlossen,148
lessen,17
manche,453
magazine,19
comics,51
schreibwaren,20
computerbücher,1
reisefürer,1
romane,33
minuten,580
unbequem,35
findet,424
schlossen,7
sorry,209
understand,197
sentence,423
september,405
geschlafen,220
tat,153
mathematik,141
bach,48
brahms,15
vivaldi,3
bartok,4
youtube,134
film,1622
bbc,4
gesundheit,287
übte,17
klavier,207
las,157
reading,53
werde,3971
später,829
mögen,240
sachen,601
langweilige,24
tun,1304
grammatik,467
lernen,4566
h,1653
eute,140
langweiliger,17
mathe,93
klavierspielen,10
holprig,7
konnte,1993
geschafft,97
schaffen,253
ere,38
themen,124
dar,119
ach,240
elf,105
zulezt,2
geschah,45
cest,54
la,370
vie,37
schrieb,183
lateinisch,6
spieltet,1
fetten,5
katze,422
weiß,2111
dinge,646
schrieben,47
wenigstens,101
früher,764
vergangen,73
geschehen,143
ir,105
lateinische,19
schreibenmitteilen,1
tagen,500
amerikan,8
busse,41
vergleich,222
amerika,312
technologie,140
anscheinend,42
uhre,5
moment,450
sollte,1072
reiste,47
anstatt,138
mindestens,252
verbrachte,51
deutschlandd,1
ische,38
v,392
ergleich,7
eutsche,153
uhren,26
abfahren,21
stattdessen,110
verspätung,31
moinsen,2
kürzlich,106
fing,132
ernst,159
studieren,1104
gegenwärtig,9
knowledge,10
karl,64
sandberg,2
lehrt,24
echt,262
schriftstellern,9
bald,951
freud,27
heine,53
marx,23
kafka,48
nietzsche,27
anderer,196
gelesen,772
kapitel,63
eins,237
beschloss,45
besuchtet,4
scheune,15
heutzutage,332
laden,158
vollständig,44
verlort,1
fünf,483
niveauen,1
je,638
verscheiden,2
arten,126
schaute,81
kunst,311
sprache,2203
alle,3551
besonders,1028
riechen,26
schwer,1473
lange,1565
zukunft,685
hallo,1595
slang,29
jedem,194
verstanden,345
ernsthaft,12
andere,2522
darum,545
besuchte,124
völlig,173
verloren,255
stockwerke,3
betrachtete,18
allzu,19
langer,220
statt,609
practice,33
heise,11
laszlo,1
weise,362
konnen,50
reisen,686
hei,121
ß,597
aszlo,1
assuming,2
meant,67
write,300
travel,17
case,92
traveling,4
would,632
wohin,134
pfand,32
gür,1
einwegverpackungen,20
testdaf,100
viellen,2
voraus,157
richtig,1269
koriegiren,2
logisch,32
passt,337
herzlich,84
willkomen,2
wichtiges,66
thema,723
letzter,356
dikutiert,2
müll,74
davon,789
erzeugt,46
folgende,230
grafik,497
zeigt,321
gesamtsverbrauch,5
verpackungen,19
diagramm,29
stammt,107
gesselschaft,2
verpackungforschung,1
b,1990
gvm,3
jhr,1
deutlich,118
erkennen,176
verpackungsverordenung,2
kraft,131
trit,2
millionen,270
tonnen,27
gebracaucht,2
zahl,359
gesunken,47
drei,1489
leicht,527
wegen,1343
ansieges,1
idee,453
gekommen,844
neues,642
gesetz,132
einzuführen,15
zahlen,218
befürworter,36
glauben,417
durch,2025
produziert,46
dazu,763
produtenzen,1
mehrwegverpackungen,7
verwenden,265
denken,770
pfandsystem,6
lösen,141
rückgäbeprozess,2
schwieriger,110
meinung,1037
produzier,3
solang,11
produzenten,4
weiter,1061
denn,1762
sollen,612
ihnene,2
ihrer,779
finanziel,2
außerdem,1040
belohnt,8
system,183
bürgerinen,1
weiterer,63
obdachlose,29
verdienen,209
könnnen,9
dadurch,242
straßen,161
sauber,110
klappe,8
schwerpunkt,25
systemes,1
preice,1
produkte,126
erhöht,67
deswegen,1152
käuferinnen,3
verletzt,138
wichtige,366
punkt,145
westliche,34
welt,1554
zählt,54
jede,647
verpackung,24
abgeben,39
kostet,289
übrigens,332
gessamelt,1
gefahren,1048
sortiert,6
gewaschen,60
wozu,37
energie,275
verwendet,288
trotzdem,1008
diser,13
nutzbar,7
umweltschütz,1
heimatland,139
situation,512
anderes,387
plastikflaschen,4
zahlt,14
gilt,149
großen,577
glassflacschen,1
hälfte,141
verkauften,7
politische,95
kompliezirter,1
regierung,482
gezwungen,50
mehrheit,89
seines,194
budgets,3
armee,45
investieren,36
ür,24
oraus,10
korrekturen,94
lles,17
eure,198
grammatischer,2
fehler,702
willkom,1
di,77
kutiert,2
welche,692
gesamt,7
verbrauch,20
ges,59
ell,16
schaft,17
forschung,85
el,140
mbh,2
gmbh,17
bzw,184
punkte,108
hr,85
trat,61
w,1446
rden,40
verpackungsverord,1
nung,3
anfielen,2
sank,31
folgenden,152
stieg,58
iese,34
präteritum,52
wiederholungen,9
abweichend,3
englischen,191
dezimalbrüche,4
komma,151
getrennt,76
tausenderstellen,2
hervorgehoben,10
anstiegs,2
kam,693
ans,98
ieges,1
entstanden,67
aufgrund,121
anstiegswurde,1
eingeführt,37
gezahlt,14
werdenmuss,1
allerdings,468
bedeutung,435
geändert,112
dein,481
liest,143
ob,2110
verabschiedet,33
bereits,262
führ,19
produ,4
zent,3
rückg,2
beprozess,2
verlangen,49
gewinn,36
finanzie,1
ll,61
soll,2046
len,40
bürger,120
bürgerinnen,3
ehrwegverpackungen,2
normalen,49
fließtext,1
eigentlich,1237
diejenigen,38
nutzen,174
wäre,1648
könnn,1
gleichzeitig,314
könn,51
preissteigerung,1
folge,135
wodurch,13
verbraucher,25
finanziell,22
geschädigt,10
prei,1
hauptproblem,9
systems,20
produktpreise,1
somit,77
kunden,157
hauptlast,1
wortkonstruktionen,1
verzichtet,12
geschlechtsneutrale,4
zb,309
studierende,141
daher,452
bereit,146
abzugeben,6
koste,16
käufer,7
sol,9
gesammelt,54
transportiert,5
kosten,177
übrigen,22
elt,15
ser,38
entweder,232
nützlich,87
sinnvoll,63
umweltsch,3
tz,44
ander,98
hingegen,48
glasflaschen,2
älfte,2
ausmachen,14
meines,629
landes,122
kompliziert,158
sieht,635
kompl,1
izier,1
ter,55
ihres,207
israel,19
bist,613
frage,1095
wo,1677
student,407
beschäfftiget,1
universität,1250
sorgen,258
sollten,332
jeder,792
dürfte,37
dswhcs,1
sozialerhebung,5
beschreibt,75
ältergruppe,1
älter,144
gruppe,342
tortediagramm,2
besteht,308
vier,741
teilen,135
eigene,387
wohngemeinschaft,26
wohnheim,67
dern,10
ältern,2
angaben,110
prozente,3
unter,1004
größer,129
anteil,214
ihren,973
eltern,1355
entnehmen,27
teil,1083
eigener,41
verdoppelte,1
anschließend,69
desto,154
entscheidet,48
vn,4
menschen,2662
meinungen,164
diskutiert,122
behauptet,41
starke,129
beziehungen,107
seinen,769
mitstudenten,6
sowohl,219
seiner,767
hochschule,127
gegendliche,1
darstellt,24
freier,34
fühlen,240
kreativer,4
irgendwo,178
gleichen,208
gedanken,261
erzeugen,27
nachteil,49
blase,3
außeren,2
beschützt,2
solange,90
morgens,241
könntte,1
einzelnen,30
isoliert,11
einsam,116
vorteile,129
sparren,3
gebraucht,149
wichtiger,186
alleine,125
rechnungen,21
reperaturen,1
kleinigkeiten,20
beschäftigen,105
investiert,21
könnten,458
studiumgebühr,1
wohnungmieten,1
teuerer,8
haus,1289
meisten,784
willes,1
finanzialsituation,1
wohl,372
jed,13
beschä,2
ft,37
gen,123
sk,14
utiert,2
grup,2
pen,30
studierenden,176
tort,1
endi,1
agramm,2
torte,40
ltern,4
studierend,4
gr,127
ßer,21
woh,9
nt,35
verdoppelt,20
zunehmendem,2
phänonem,1
engere,5
kommilitonen,54
entwickeln,137
konträre,3
campus,66
ungestört,6
lte,24
ande,5
rs,24
außenwelt,6
abschirmt,1
bereich,121
tudieren,11
wichti,4
einzelzimme,1
spa,38
brauchen,320
rep,5
raturen,1
ernen,40
stud,11
ien,29
gebühr,18
mieten,31
zuhause,89
freien,86
stücken,9
finanziellen,26
gründen,89
gweicht,3
echten,35
daf,41
vorberieten,3
schriebe,23
ihn,2181
erfunden,64
verbindung,106
realität,86
niveo,2
westen,106
auswahl,75
essens,20
kühlschräncke,1
voller,97
zeitung,239
zeitraum,87
kg,58
stellen,338
durchschnitliche,1
gewicht,47
kindern,339
alt,1469
steigt,76
whärend,2
järiger,1
wog,10
knapp,113
tandenz,3
weitergeht,9
bedeutet,1049
kind,925
wägen,4
gefährlich,144
chance,294
krank,392
gewichtproblem,2
probleme,657
krankenkassen,6
geben,911
medikamenten,14
operationen,7
kümmern,128
schulden,20
führen,286
selbstbewusstsein,21
schweriegkeiten,2
rechnen,45
müßen,3
gegen,1043
schulen,99
kindergärten,12
gesunden,18
ernährung,43
erklärt,152
ernährungsgewhonheiten,1
gesundes,19
verantwortliches,3
vorbild,48
natürlich,1337
kontrolieren,7
unglaubliche,18
unterbewussten,1
werbungen,25
vorschlag,209
deren,180
food,55
uhr,2326
verboten,101
treiben,129
bringen,407
bild,541
fernseher,139
unsere,1271
verantwortung,69
prüfen,56
gesund,291
optimistisch,31
gewichtsproblem,2
testdaftext,1
dies,693
schreibegeschrieben,1
vorzubereiten,73
testdafprüfung,8
och,27
al,162
lebensniveau,4
westlichen,68
kühlschrän,1
c,988
ke,18
dicker,28
durchschni,2
tt,174
liche,25
kilogramm,12
abkürzung,32
kilo,52
klein,542
kb,2
km,123
z,1207
ehn,8
äriger,1
riger,4
wiegen,10
ndenz,3
doesnt,106
fit,84
very,425
well,172
erkranken,6
müssten,41
hätte,914
schwierigkeiten,176
seinem,531
mü,15
ernährungsgew,2
oh,277
nheiten,2
kontro,3
ieren,19
unterbewusst,2
kontakt,147
fastfoodprodukte,2
sport,422
ver,260
sei,871
context,46
darauf,816
achten,101
ausgangssperre,1
weg,915
polizisten,43
shibuya,22
tokyo,382
passiert,458
überhaupt,331
vierzig,28
marschieren,4
fußgängerbrücke,1
verändert,182
vertraut,44
wirkenden,1
szene,95
ätherisch,1
unheimlich,49
hubschrauber,20
höchste,54
bezirk,30
schweben,10
gegoogelt,4
grund,625
unterzumauern,1
fand,563
speziellen,22
nachrichten,313
tv,79
web,27
komischer,10
uspräsident,11
herr,496
obama,61
japan,3459
irgendwie,218
verbundenen,2
untercurfewish,1
on,627
way,225
work,187
saw,35
lot,125
policemen,2
happened,18
or,900
if,796
anything,41
at,472
nearly,9
forty,3
marching,1
single,26
pedestrian,1
bridge,16
changed,22
familiarlooking,1
scene,7
into,107
something,232
almost,52
ethereally,1
eerie,1
heard,25
two,119
helicopters,1
hovering,1
around,44
tallest,2
building,26
district,12
ive,115
googled,2
nail,1
down,40
found,51
no,435
specific,24
news,28
nor,9
weird,20
us,144
president,10
mr,45
comming,2
somehow,9
related,3
undercurfewish,1
woerter,90
buecher,64
buchlesen,6
woeter,2
manie,7
büchernarr,2
büchernarrin,2
bücherwurm,2
bücherverbrennung,2
kindle,15
normale,143
bücherfreund,2
bücherfreundin,1
buechern,5
buchausstattung,2
buchdeckel,7
buchbesprechung,2
bücherkunde,3
bibliografie,3
bücherverzeichnis,3
hobby,219
buechernaerrin,1
interessie,3
fuer,1280
buchsammlung,1
zufrieden,263
amazon,48
papierlos,2
platzsparend,1
satze,25
diesen,1280
woertern,2
büchern,55
betreffen,22
bereichen,41
bücherlesen,3
är,11
rin,25
bücherreundin,1
katalog,4
büchernärrin,1
interessiere,273
büchsammlungen,1
liebe,1970
interess,14
iere,15
sammlungen,8
platz,508
sparend,1
sätze,551
wörtern,46
bilden,114
akihabara,7
jimbocho,6
mann,1600
secondhandbüchläden,2
impulsiv,7
wörterbücher,19
italienisch,130
dabei,611
elektronischen,24
verkauf,38
angeboten,68
worden,491
yodobashi,2
eneloop,2
ladegerät,3
ipodtouch,4
na,351
einkaufen,327
spaß,953
falsch,559
wortreihenfolge,6
spontan,30
welcher,193
elektronische,41
inkaufen,4
müde,768
gediegen,3
gehessen,1
getrunken,314
sprit,13
früh,547
aufstehen,182
hoffentlich,441
untergehalten,8
antrieb,13
kraftenergie,1
binnbspzu,1
benzintreibstoff,2
nbspnbsp,1
worüber,57
unterhaltsam,10
isthoffentlich,1
amüsieren,15
könnennbsp,1
englische,223
kurs,612
warum,1574
klasse,676
gewahlt,2
kontroverse,5
buero,18
wenigebeissende,1
fiel,111
niemand,484
roh,14
uebrigens,42
akronym,1
ref,6
englisch,2112
wort,1263
reduce,6
workforce,2
kine,2
englischkurs,6
hierich,3
klammern,16
englischunterricht,12
gew,42
hlt,14
dieeine,26
ro,17
leser,77
bekannte,227
handelt,208
sonst,376
ine,74
haruki,26
murakami,25
freitag,458
reserviert,34
buchs,21
q,26
unglaublich,130
warten,384
leihen,28
akzeptiert,58
reservierung,20
online,111
offline,4
handy,317
gebucht,35
ordnung,191
sekunde,33
eintragung,12
ploezlich,1
populaer,9
inland,18
ausland,449
umsatz,19
uber,87
kopien,11
lockt,5
klar,418
erzahlen,7
legt,50
besonderes,122
arauf,3
auszul,1
eihen,1
warte,178
auszuleihen,5
p,706
unkt,3
hand,317
yu,29
ekunde,1
gedauert,100
ploe,1
zlich,5
ber,236
pl,26
oe,32
öt,1
popul,5
ae,50
wirklich,1572
erklären,329
sa,80
tze,37
egt,3
namens,145
fishkill,8
abgebrochende,2
bricke,1
unterschiedlichen,53
sprachen,870
neuseeland,68
york,105
usa,382
muß,146
staaten,188
kenntnis,57
suggestiert,1
fisch,191
töten,122
plötzliche,10
unerklärliche,11
lokalisierte,2
absterben,3
wassertiere,2
flüsschen,5
holländisch,9
einigen,351
forderte,26
verrückte,24
clan,4
umweltterroristen,2
namen,319
ändern,180
behaupten,41
schlägt,27
grausamkeit,10
fische,82
schande,18
wissen,975
erde,248
unterschiedliche,86
aussprache,199
denen,356
negativ,65
klingen,95
zufällig,105
wann,713
einzige,228
gift,41
poison,1
ganzgrundlose,2
gottweißwas,2
gleichfalls,19
stehen,439
denke,1960
br,30
cke,9
falls,288
sugge,1
fischsterben,1
fordert,36
negative,90
klang,83
ferien,349
endlich,841
aufholen,6
schlaf,140
hoffe,1844
bergsteigen,33
nachholen,3
means,214
vacation,7
still,193
ongoing,2
are,730
process,8
making,20
up,194
lost,26
sleep,22
past,79
tense,55
auholen,1
has,200
already,76
left,34
again,132
hes,25
besuch,227
registriert,29
mochte,271
ö,689
chte,134
nichts,1331
wachte,36
aß,166
frühstück,253
bagal,2
erdnussbutter,4
nahm,214
tages,414
linguistik,13
philosophie,115
noam,2
chomsky,2
sommer,973
eines,1254
schlafen,687
vater,989
dingen,61
sonne,501
scheint,468
wind,221
weht,34
beispiel,1137
worte,177
onne,7
ind,25
sch,289
started,54
should,177
make,232
rest,115
darüber,1006
nachgedachtich,1
besten,448
correct,316
they,266
exact,6
same,141
its,565
like,699
difference,38
between,58
about,453
wrote,59
erstens,75
betrifft,90
inge,9
why,132
when,319
zweitens,65
plural,205
slightly,12
gemach,9
fernsehen,472
freuenden,4
zuhören,64
rock,141
favoriten,6
hören,693
gleicher,21
höhe,69
erreichen,212
schrecklich,185
spanisch,304
ausgezeichnet,73
gute,1855
denkedass,22
freunden,896
deutschkenntnisse,85
spanisckenntnisse,1
schreibeerreiche,1
