sentence,ID,clean sentence,parse,start_index,end_index,phrase,total_native,total_non_native,native_complex,non_native_complex,complex_binary,complex_probabilistic,split,count,original phrase,syllables,length
Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Toronto traded Stewart to Chicago early in the 1947-48 season in a deal that brought Max Bentley to the Leafs .,,104,109,leafs,10,10,1,1,1,0.1,['Leafs'],1,Leafs,1,5
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,39,44,basis,10,10,1,0,1,0.05,['basis'],1,basis,2,5
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,11,18,russian,10,10,0,0,0,0.0,['Russian'],1,Russian,2,7
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,19,27,language,10,10,0,0,0,0.0,['language'],1,language,2,8
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,28,34,formed,10,10,0,0,0,0.0,['formed'],1,formed,1,6
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,61,70,novelists,10,10,7,2,1,0.45,['novelists'],1,novelists,3,9
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,52,57,style,10,10,0,0,0,0.0,['style'],1,style,1,5
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,76,84,turgenev,10,10,0,0,0,0.0,['Turgenev'],1,Turgenev,2,8
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,71,75,ivan,10,10,0,0,0,0.0,['Ivan'],1,Ivan,2,4
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,87,91,ivan,10,10,0,0,0,0.0,['Ivan'],1,Ivan,2,4
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,92,101,goncharov,10,10,0,0,0,0.0,['Goncharov'],1,Goncharov,3,9
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,108,111,leo,10,10,0,0,0,0.0,['Leo'],1,Leo,2,3
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,141,151,subsequent,10,10,10,6,1,0.8,['subsequent'],1,subsequent,3,10
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,112,119,tolstoy,10,10,0,0,0,0.0,['Tolstoy'],1,Tolstoy,2,7
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,152,157,lyric,10,10,1,3,1,0.2,['lyric'],1,lyric,2,5
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,180,189,lermontov,10,10,0,0,0,0.0,['Lermontov'],1,Lermontov,3,9
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,158,163,poets,10,10,0,0,0,0.0,['poets'],1,poets,2,5
"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"His use of Russian language formed the basis of the style of novelists Ivan Turgenev , Ivan Goncharov , and Leo Tolstoy , as well as that of subsequent lyric poets such as Mikhail Lermontov .",,172,179,mikhail,10,10,0,0,0,0.0,['Mikhail'],1,Mikhail,2,7
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,0,8,vertical,10,10,3,3,1,0.3,['Vertical'],1,Vertical,3,8
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,18,30,measurements,10,10,1,1,1,0.1,['measurements'],1,measurements,3,12
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,9,17,distance,10,10,0,0,0,0.0,['distance'],1,distance,2,8
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,72,80,referred,10,10,0,2,1,0.1,['referred'],1,referred,2,8
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,49,58,direction,10,10,0,0,0,0.0,['direction'],1,direction,3,9
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,63,71,commonly,10,10,0,0,0,0.0,['commonly'],1,commonly,3,8
Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,Vertical distance measurements in the `` down '' direction are commonly referred to as depth .,,87,92,depth,10,10,0,3,1,0.15,['depth'],1,depth,1,5
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,34,44,elevations,10,10,4,7,1,0.55,['elevations'],1,elevations,4,10
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,0,7,however,10,10,0,0,0,0.0,['However'],1,However,3,7
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,10,16,people,10,10,0,0,0,0.0,['people'],1,people,2,6
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,17,23,living,10,10,0,0,0,0.0,['living'],1,living,2,6
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,27,33,higher,10,10,0,0,0,0.0,['higher'],1,higher,2,6
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,78,84,higher,10,10,0,0,0,0.0,['higher'],1,higher,2,6
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,52,65,statistically,10,10,6,4,1,0.5,['statistically'],1,statistically,5,13
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,66,77,significant,10,10,1,2,1,0.15,['significant'],1,significant,4,11
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,85,89,rate,10,10,0,1,1,0.05,['rate'],1,rate,1,4
"However , people living at higher elevations have a statistically significant higher rate of suicide .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"However , people living at higher elevations have a statistically significant higher rate of suicide .",,93,100,suicide,10,10,2,1,1,0.15,['suicide'],1,suicide,3,7
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,4,8,lack,10,10,0,2,1,0.1,['lack'],1,lack,1,4
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,12,18,oxygen,10,10,0,0,0,0.0,['oxygen'],1,oxygen,3,6
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,31,37,metres,10,10,1,0,1,0.05,['metres'],1,metres,2,6
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,69,78,illnesses,10,10,0,1,1,0.05,['illnesses'],1,illnesses,3,9
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,46,48,ft,10,10,0,0,0,0.0,['ft'],1,ft,1,2
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,87,95,altitude,10,10,2,4,1,0.3,['altitude'],1,altitude,3,8
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,112,120,altitude,10,10,0,0,0,0.0,['altitude'],1,altitude,3,8
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,148,156,altitude,10,10,0,0,0,0.0,['altitude'],1,altitude,3,8
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,96,104,sickness,10,10,0,2,1,0.1,['sickness'],1,sickness,2,8
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,107,111,high,10,10,0,0,0,0.0,['high'],1,high,1,4
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,143,147,high,10,10,0,0,0,0.0,['high'],1,high,1,4
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,121,130,pulmonary,10,10,1,1,1,0.1,['pulmonary'],1,pulmonary,4,9
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,131,136,edema,10,10,0,1,1,0.05,['edema'],1,edema,3,5
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,166,171,edema,10,10,1,0,1,0.05,['edema'],1,edema,3,5
"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"The lack of oxygen above 2,400 metres ( 8,000 ft ) can cause serious illnesses such as altitude sickness , high altitude pulmonary edema , and high altitude cerebral edema .",,157,165,cerebral,10,10,2,0,1,0.1,['cerebral'],1,cerebral,3,8
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,53,59,metres,10,10,0,0,0,0.0,['metres'],1,metres,2,6
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,68,70,ft,10,10,0,0,0,0.0,['ft'],1,ft,1,2
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,5,13,altitude,10,10,1,0,1,0.05,['altitude'],1,altitude,3,8
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,0,4,high,10,10,0,0,0,0.0,['High'],1,High,1,4
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,27,34,defined,10,10,1,1,1,0.1,['defined'],1,defined,2,7
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,38,43,begin,10,10,0,0,0,0.0,['begin'],1,begin,2,5
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,79,82,sea,10,10,0,0,0,0.0,['sea'],1,sea,1,3
"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",3NFWQRSHVEFQ1M6JG2LXX1PM0A5FG8,"High altitude is sometimes defined to begin at 2,400 metres ( 8,000 ft ) above sea level .",,83,88,level,10,10,0,0,0,0.0,['level'],1,level,2,5
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,7,17,population,10,10,2,2,1,0.2,['population'],1,population,4,10
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,53,59,census,10,10,9,3,1,0.6,['census'],1,census,2,6
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,71,76,quito,10,10,0,0,0,0.0,['Quito'],1,Quito,2,5
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,96,104,populous,10,10,9,4,1,0.65,['populous'],1,populous,3,8
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,105,109,city,10,10,0,0,0,0.0,['city'],1,city,2,4
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,113,120,ecuador,10,10,0,0,0,0.0,['Ecuador'],1,Ecuador,3,7
"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"With a population of 2,239,191 according to the last census ( 2010 ) , Quito is the second most populous city in Ecuador , after Guayaquil .",,129,138,guayaquil,10,10,0,0,0,0.0,['Guayaquil'],1,Guayaquil,2,9
"Quito ( Spanish pronunciation : ( ˈkito ) ) , formally San Francisco de Quito , is the capital city of Ecuador , and at an elevation of 9,350 feet ( 2,800 meters above sea level ) , it is the highest official capital city in the world .",3E22YV8GG1782RCZH9UXZFCN3SEPNT,"Quito ( Spanish pronunciation : ( ˈkito ) ) , formally San Francisco de Quito , is the capital city of Ecuador , and at an elevation of 9,350 feet ( 2,800 meters above sea level ) , it is the highest official capital city in the world .",,168,171,sea,10,10,0,0,0,0.0,['sea'],1,sea,1,3
